股票代码,市盈率-动态,归母净利润增长率
000807,11.36,1.9914999999999998
300107,305.86,1.988
301234,39.67,1.9845
600560,71.35,1.9809999999999999
601928,16.41,1.9775000000000003
300661,122.96,1.9740000000000002
002405,-36.59,1.9705000000000001
300052,-105.69,1.9669999999999999
600276,47.12,1.9635000000000002
002203,17.17,1.9594999999999998
301520,25.62,1.9554999999999996
300039,23.09,1.951
300277,711.65,1.9469999999999998
300166,544.35,1.9425000000000001
300887,-14.07,1.9385000000000001
300261,-88.91,1.9344999999999999
301515,70.41,1.9300000000000002
603987,14.95,1.9260000000000002
002468,19.9,1.9225
002235,104.42,1.919
688117,37.56,1.9159999999999997
688581,18.3,1.9125
430476,-146.73,1.909
688060,430.08,1.906
688236,63.7,1.9029999999999998
002975,2292.54,1.9
870656,32.3,1.8969999999999998
831627,100.9,1.8939999999999997
002600,36.62,1.891
601118,-37.91,1.8884999999999998
300247,63.06,1.886
603858,40.46,1.884
301095,1094.58,1.8820000000000001
688032,41.27,1.8799999999999997
300531,208.3,1.8779999999999997
605566,55.67,1.8760000000000001
301076,82.15,1.8745
603520,321.63,1.873
301130,47.22,1.871
600941,16.4,1.8684999999999998
300590,42.77,1.8660000000000003
300122,21.28,1.864
300857,31.11,1.862
603829,19.82,1.86
300082,-25.44,1.8575
002872,-25.52,1.855
300597,230.16,1.8530000000000002
002407,437.77,1.8510000000000002
605116,21.59,1.8485
300981,73.71,1.846
600410,-36.54,1.8435
300151,82.42,1.841
002598,23.18,1.8385000000000002
002197,-36.33,1.8365000000000002
000607,306.0,1.8345000000000002
603309,15.53,1.832
300484,176.07,1.8295
688272,131.49,1.827
300677,18.69,1.8244999999999998
601728,18.51,1.8225000000000002
002941,31.64,1.8204999999999998
002243,60.73,1.8185000000000002
430047,-74.15,1.8165
000705,45.67,1.814
002382,-17.59,1.812
688171,227.03,1.8094999999999999
300210,-108.33,1.807
601127,34.26,1.8045000000000002
300306,46.63,1.8025000000000002
300073,35.08,1.8005000000000002
000050,-35.69,1.7985
601615,22.9,1.7965
300380,1124.73,1.7945
603151,33.79,1.7925
